City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hohhot,40.8106,111.6522,89.89,37,20,8.95,CN,1719559259
84,anse-bertrand,16.4721,-61.5078,76.82,78,16,13.31,GP,1719559260
85,uturoa,-16.7333,-151.4333,79.92,79,58,24.72,PF,1719559261
86,iqaluit,63.7506,-68.5145,38.93,80,75,2.3,CA,1719559263
87,bucerias,20.75,-105.3333,79.99,84,75,3.58,MX,1719559019
88,namibe,-15.1961,12.1522,72.05,70,0,10.36,AO,1719559265
89,rongelap,11.1635,166.8941,83.57,74,99,15.19,MH,1719559266
90,touros,-5.1989,-35.4608,72.63,92,12,10.11,BR,1719559267
91,kitimat,54.0524,-128.6534,55.9,62,100,4,CA,1719559268
92,calatayud,41.3535,-1.6432,74.23,52,2,5.59,ES,1719559269
93,remire-montjoly,4.9167,-52.2667,77.04,94,0,1.14,GF,1719559270
94,udachny,66.4167,112.4,76.86,40,100,7.78,RU,1719559272
95,kristiansund,63.1115,7.732,60.85,77,75,17.27,NO,1719559273
96,kishanganj,26.1167,87.9333,90.34,65,97,10.27,IN,1719559275
97,yuzhno-kurilsk,44.0306,145.8556,61.61,83,47,6.15,RU,1719559278
98,margaret river,-33.95,115.0667,61.9,65,2,13.51,AU,1719559279
99,riberalta,-10.9833,-66.1,69.33,70,0,2.26,BO,1719559281
100,lebu,-37.6167,-73.65,45.23,82,93,8.61,CL,1719559041
101,dudinka,69.4058,86.1778,75.7,48,100,15.66,RU,1719559283
102,vallegrande,-18.4897,-64.1069,50.83,97,53,6.02,BO,1719559284
103,fale old settlement,-9.3852,-171.2468,84.63,73,100,17.67,TK,1719559285
104,tekeli,44.83,78.8239,90.14,23,1,11.45,KZ,1719559287
105,santyoku,37.4406,129.1708,75.63,62,4,6.02,KR,1719559288
106,mata-utu,-13.2816,-176.1745,82.53,82,3,18.61,WF,1719559289
107,wailua homesteads,22.0669,-159.378,74.19,86,40,14.97,US,1719559134
108,longyearbyen,78.2186,15.6401,39.04,87,100,21.85,SJ,1719559291
109,hermanus,-34.4187,19.2345,63.3,51,0,11.23,ZA,1719559292
110,eagle point,42.4726,-122.8028,58.21,67,100,3.29,US,1719559293
111,port mathurin,-19.6833,63.4167,71.76,75,100,23.42,MU,1719559294
112,coquimbo,-29.9533,-71.3436,53.33,85,100,4.61,CL,1719559102
113,cedeira,43.6797,-8.0209,61.99,81,100,23.78,ES,1719559297
